"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"98",80,3,"x3 x4 x8",0.76277224721822,0.735399814204937,0.677395885205268,5.07312747904162,161.078296828356,76.7834883720209,168.084283736666,312.743088816662,11.779139732992,0.310220907483867,0.415734343517363
"87",81,3,"x2 x5 x8",0.761883190803173,0.734408174357385,0.670733528868906,5.17458920676264,161.190517418158,76.8643650923624,168.196504326468,313.915153409078,11.8232843139718,0.311383519718928,0.417292387551947
"102",82,3,"x3 x5 x8",0.760929586796198,0.733344539118836,0.667710223931698,5.28341729514027,161.310420705375,76.9508327772917,168.316407613686,315.172312654369,11.8706338956139,0.312630540343434,0.41896354925696
"70",83,3,"x1 x6 x9",0.760699325206059,0.733087708883681,0.672292203817195,5.3096954236908,161.339301414979,76.9716683574137,168.345288323289,315.475872082351,11.882067142414,0.312931651653615,0.41936707561461
"97",84,3,"x3 x4 x7",0.760443485633726,0.732802349360695,0.675662960363723,5.33889258664802,161.371357685925,76.9947987306934,168.377344594236,315.813151583398,11.8947704203247,0.313266211094358,0.419815426599697
"123",85,3,"x5 x7 x8",0.757586821110312,0.729616069699964,0.667134718345756,5.6649035271908,161.726985603909,77.2516763629068,168.73297251222,319.579161572909,12.036613228331,0.317001849317284,0.424821643352857
"125",86,3,"x5 x8 x9",0.757518106975149,0.729539427010744,0.678757140760709,5.67274538599133,161.735488161217,77.2578241037992,168.741475069528,319.669749080586,12.040025111596,0.317091706263266,0.424942062762211
"101",87,3,"x3 x5 x7",0.757494939729775,0.729513586621672,0.659416546032569,5.67538930003598,161.738354289293,77.2598965118126,168.744341197604,319.700291020949,12.0411754416788,0.317122001891833,0.424982662647486
"86",88,3,"x2 x5 x7",0.755686989687426,0.727497026959051,0.659743925372734,5.88171786572151,161.961183941311,77.4211188859017,168.967170849622,322.083755324936,12.1309461195585,0.319486244254905,0.428151039513829
"83",89,3,"x2 x4 x8",0.751943848938177,0.72332198535412,0.659751237690489,6.30889607521885,162.417331054949,77.7517822663135,169.423317963259,327.018428380969,12.3168053936469,0.324381120619307,0.434710778599303
"104",90,3,"x3 x6 x7",0.751511250985645,0.72283947225322,0.640751299608443,6.35826542336101,162.469604039154,77.789729976134,169.475590947465,327.588732733239,12.3382853076592,0.324946825634156,0.435468893211501
"119",91,3,"x4 x8 x9",0.750921907356436,0.722182127436025,0.661646234990004,6.42552304821912,162.540671142763,77.841339551902,169.546658051074,328.36567870525,12.3675481610893,0.32571750576466,0.436501699803151
"109",92,3,"x3 x8 x9",0.750674957771303,0.721906683667991,0.652972222279215,6.45370565974255,162.570400041488,77.8629351933794,169.576386949798,328.691238320983,12.3798100218378,0.326040439837527,0.436934471358981
"74",93,3,"x2 x3 x4",0.75039770124661,0.721597436005835,0.66521468629452,6.48534698816797,162.603742357748,77.8871600824434,169.609729266059,329.056752308744,12.3935767220149,0.326403006062125,0.437420354894644
"108",94,3,"x3 x7 x9",0.749359010552106,0.720438896385041,0.649984911557338,6.6038854190803,162.728324801337,77.9777167716162,169.734311709647,330.42608339381,12.4451511381043,0.3277612938934,0.439240628403682
"107",95,3,"x3 x7 x8",0.748459763332566,0.71943588987094,0.649630215154942,6.70651015132299,162.835765876463,78.0558661310289,169.841752784774,331.611582770467,12.4898017261121,0.328937232565105,0.440816531509837
"78",96,3,"x2 x3 x8",0.748042003185694,0.718969926630197,0.642599446268885,6.75418616553006,162.885548801004,78.0920932364858,169.891535709315,332.162326084372,12.5105448941739,0.329483534295631,0.441548643323784
"95",97,3,"x3 x4 x5",0.74742250846738,0.718278951752078,0.661700520126729,6.82488472117895,162.959219935417,78.1457230925458,169.965206843728,332.979020966987,12.5413048485439,0.330293642773426,0.442634288772138
"94",98,3,"x2 x8 x9",0.746836007963503,0.717624778113138,0.643482492180699,6.89181788022885,163.028801030011,78.1963967235801,170.034787938321,333.752218778053,12.5704265314315,0.331060604970804,0.443662112874052
"77",99,3,"x2 x3 x7",0.746495913181247,0.717245441625237,0.64323736728619,6.93063049505581,163.069075305916,78.2257365809247,170.075062214226,334.200573961821,12.5873133581863,0.331505344301447,0.444258118524222
